"master_d","s.no","article","paper_co","page","readersh","v7","area","length","breadth","type","position","positio2","category","topic","brand","areacode","city","nppr","dow","pprcity","pprdow","citydow","all3var","v7recode","pagetype","ReaderShClass"
1.00002,2,"2",1,"1",50,1,377,19.4164878389476,19.4164878389476,3,10,13,0,5,"",4,1,2,2,4,4,2,8,1,2,"High"
1.00003,3,"3",1,"1",50,2,244,20.3,12,3,10,0,5,0,"JOYALUKKAS",4,1,2,2,4,4,2,8,2,2,"High"
1.00007,7,"7",1,"1",50,1,86,20,4.3,1,18,17,0,5,"",2,1,2,2,4,4,2,8,1,2,"High"
1.00016,16,"8",1,"2",100,1,178,23.1,7.7,1,3,0,0,15,"",3,1,2,2,4,4,2,8,1,1,"High"
1.00017,17,"9",1,"2",50,1,125,15.6,8,1,5,0,0,5,"",3,1,2,2,4,4,2,8,1,1,"High"
1.00019,19,"1",1,"3",100,1,107,8.9,12,3,10,0,0,5,"",2,1,2,2,4,4,2,8,1,2,"High"
1.00021,21,"3",1,"3",100,2,247,20.6,12,3,12,0,2,0,"MAHINDRA DZ",4,1,2,2,4,4,2,8,2,2,"High"
1.00026,26,"8",1,"3",100,1,125,15,8.3,3,18,0,0,5,"",3,1,2,2,4,4,2,8,1,2,"High"
1.0003,30,"1",1,"4",100,1,257,7.9,32.5,3,1,4,0,5,"",4,1,2,2,4,4,2,8,1,1,"High"
1.00031,31,"2",1,"4",50,1,517,22.7376340018041,22.7376340018041,3,1,9,0,5,"",4,1,2,2,4,4,2,8,1,1,"High"
1.00032,32,"3",1,"4",50,1,123,15.4,8,3,5,0,0,5,"",3,1,2,2,4,4,2,8,1,1,"High"
1.00033,33,"4",1,"4",100,1,211,10.3,20.5,3,3,9,0,2,"",4,1,2,2,4,4,2,8,1,1,"High"
1.00034,34,"5",1,"4",50,1,118,10,11.8,3,5,0,0,5,"",2,1,2,2,4,4,2,8,1,1,"High"
1.00035,35,"6",1,"4",50,1,108,12.7,8.5,1,8,0,0,1,"",2,1,2,2,4,4,2,8,1,1,"High"
1.00036,36,"7",1,"4",100,1,260,12.7,20.5,3,8,0,0,13,"",4,1,2,2,4,4,2,8,1,1,"High"
1.00041,41,"4",1,"7",100,1,122,9.8,12.4,3,16,0,0,5,"",3,1,2,2,4,4,2,8,1,2,"High"
1.00042,42,"5",1,"7",50,1,81,9.8,8.3,1,13,0,0,5,"",2,1,2,2,4,4,2,8,1,2,"High"
1.00043,43,"6",1,"7",100,1,210,12.6,16.7,3,16,18,0,5,"",4,1,2,2,4,4,2,8,1,2,"High"
1.0005,50,"2",1,"13",50,1,116,14,8.3,1,10,12,0,11,"",2,1,2,2,4,4,2,8,1,2,"High"
1.00051,51,"3",1,"13",50,1,96,7.8,12.3,3,12,0,0,4,"",2,1,2,2,4,4,2,8,1,2,"High"
1.00052,52,"4",1,"13",50,1,96,7.8,12.3,3,11,12,0,3,"",2,1,2,2,4,4,2,8,1,2,"High"
1.00053,53,"5",1,"13",100,1,111,9,12.3,3,11,0,0,3,"",2,1,2,2,4,4,2,8,1,2,"High"
1.00054,54,"6",1,"13",100,1,174,10.7,16.3,3,16,0,0,11,"",3,1,2,2,4,4,2,8,1,2,"High"
1.00055,55,"7",1,"13",50,1,59,14,4.2,1,16,18,0,11,"",2,1,2,2,4,4,2,8,1,2,"High"
1.00056,56,"8",1,"13",100,1,176,14,12.6,3,16,18,0,11,"",3,1,2,2,4,4,2,8,1,2,"High"
1.00062,62,"14",1,"13",100,1,215,13.2,16.3,3,14,0,0,3,"",4,1,2,2,4,4,2,8,1,2,"High"
1.00068,68,"20",1,"13",50,1,92,11.5,8,3,18,0,0,4,"",2,1,2,2,4,4,2,8,1,2,"High"
1.00069,69,"1",1,"14",50,1,182,13.490737563232,13.490737563232,3,1,7,0,6,"",3,1,2,2,4,4,2,8,1,1,"High"
1.00072,72,"4",1,"14",100,2,813,25,32.5,3,2,5,2,0,"HONDA (DREAM YUGA)",4,1,2,2,4,4,2,8,2,1,"High"
1.00073,73,"5",1,"14",100,2,406,25.4,16,3,4,6,1,0,"NANO",4,1,2,2,4,4,2,8,2,1,"High"
1.00075,75,"2",1,"15",50,1,315,17.7482393492988,17.7482393492988,3,10,0,0,5,"",4,1,2,2,4,4,2,8,1,2,"High"
1.0008,80,"7",1,"15",100,2,320,16,20,3,17,14,9,0,"PREETHI",4,1,2,2,4,4,2,8,2,2,"High"
1.00081,81,"8",1,"15",100,2,180,15,12,3,11,0,11,0,"POORVIKA",3,1,2,2,4,4,2,8,2,2,"High"
1.00082,82,"1",1,"17",50,1,349,29.6,11.8,3,10,12,0,5,"",4,1,2,2,4,4,2,8,1,2,"High"
1.00083,83,"2",1,"17",100,1,231,11,21,3,16,13,0,5,"",4,1,2,2,4,4,2,8,1,2,"High"
